"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"SI","2019-06-02","91.7","2.22","5.53","Truist Park",518692,571510,,"foul",,,,,6,"Freddie Freeman grounds out, second baseman Gordon Beckham to first baseman John Hicks.","R","L","L","ATL","DET","S",,,0,0,2019,"1.08","0.76","0.71","2.78",,621020,,2,5,"Bot",,,,,,,-6.18922858106052,-133.500228417232,-2.78372709164563,14.2862289432476,28.2476565325051,-22.6405715846141,"3.53","1.73",,,,"92.1",2394,"6.4",567192,606988,543308,493596,641525,592348,621514,592444,592206,"54.06",,,,,,,,43,1,"Sinker",3,0,3,0,0,3,3,0,"Infield shift","Strategic",125,"0","-0.042",,,,"0.042",,3,3,"0.886","0.886",28,29,28,30,3,2,5,1,5,2,"1.93","1.08","1.08",
"FF","2019-06-02","91.8","-2.38","4.81","Truist Park",641525,527054,,"foul",,,,,2,"Brandon Dixon strikes out swinging.","R","R","R","ATL","DET","S",,,1,2,2019,"-0.21","0.75","-0.16","3.04",592444,592348,592206,2,5,"Top",,,,,,,6.03897347025418,-133.734128233714,-0.353882879078007,-3.54305007927858,22.9684188962743,-23.2130217905574,"3.37","1.62",138,"78.1",12,"92.3",2388,"6.1",567192,452095,518692,645277,518626,621020,663586,660670,622666,"54.41",,,,,,,,38,4,"4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard",195,"0","0",,,,"0","88.0",2,-2,"0.724","0.276",28,27,28,27,3,2,7,1,6,2,"1.93","0.21","0.21",
"SL","2019-06-02","83.8","-2.75","4.67","Truist Park",641525,527054,,"foul",,,,,5,"Brandon Dixon strikes out swinging.","R","R","R","ATL","DET","S",,,0,0,2019,"0.48","0.21","-0.25","2.79",592444,592348,592206,2,5,"Top",,,,,,,4.80971279838212,-121.991218864241,1.52683381757864,3.91715941647548,19.9084182309732,-30.6109016618458,"3.38","1.62",92,"73.9",9,"83.4",2621,"5.6",567192,452095,518692,645277,518626,621020,663586,660670,622666,"54.91",,,,,,,,38,1,"Slider",2,0,0,2,0,2,0,2,"Standard","Standard",114,"0","-0.155",,,,"0.155","88.0",2,-2,"0.724","0.276",28,27,28,27,3,2,7,1,6,2,"3.08","-0.48","-0.48",
"FF","2019-06-02","91.9","2.41","5.54","Truist Park",660670,571510,,"foul",,,,,8,"Ronald Acuna lines out softly to shortstop Niko Goodrum.","R","R","L","ATL","DET","S",,,1,0,2019,"0.6","1.06","-0.08","2.16",,459964,,1,5,"Bot",,,,,,,-7.54588722571923,-133.602486901239,-5.03055513936043,8.63725275800176,25.0735598311908,-18.7045944234297,"3.34","1.63",90,"74.7",7,"91.9",2252,"6",567192,606988,543308,493596,641525,592348,621514,592444,592206,"54.46",,,,,,,,41,2,"4-Seam Fastball",2,0,2,0,0,2,2,0,"Infield shift","Standard",150,"0","-0.069",,,,"0.069","88.0",2,2,"0.833","0.833",28,21,28,22,3,2,5,1,5,2,"1.64","0.6","-0.6",
"SI","2019-06-02","91.9","-2.57","4.71","Truist Park",592206,527054,,"foul",,,,,5,"Nicholas Castellanos walks.","R","R","R","ATL","DET","S",,,2,2,2019,"-0.87","0.62","0.27","2.46",592444,592348,,2,5,"Top",,,,,,,9.07485647580213,-133.718374598588,-1.26711054957762,-12.223223630325,24.7058198891703,-24.5616628443137,"3.27","1.72",,,,"92.5",2248,"6.3",567192,452095,518692,645277,518626,621020,663586,660670,622666,"54.18",,,,,,,,37,5,"Sinker",2,0,0,2,0,2,0,2,"Standard","Standard",234,"0","0",,,,"0",,2,-2,"0.745","0.255",28,27,28,27,3,2,7,1,6,2,"2.05","0.87","0.87",
"SL","2019-06-02","83.3","-2.84","4.76","Truist Park",592206,527054,,"foul",,,,,14,"Nicholas Castellanos walks.","R","R","R","ATL","DET","S",,,0,1,2019,"0.35","0.29","0.62","1.54",592444,592348,,2,5,"Top",,,,,,,7.19031160002865,-121.117296467697,-1.57138592544636,2.18085753396053,20.3063892043666,-29.2861371180162,"3.35","1.72",,,,"82.7",,"5.6",567192,452095,518692,645277,518626,621020,663586,660670,622666,"54.85",,,,,,,,37,2,"Slider",2,0,0,2,0,2,0,2,"Standard","Standard",130,"0","-0.08",,,,"0.08",,2,-2,"0.745","0.255",28,27,28,27,3,2,7,1,6,2,"3.05","-0.35","-0.35",
"FF","2019-06-02","92.1","2.21","5.37","Truist Park",452095,571510,,"foul",,,,,9,"Tyler Flowers strikes out on a foul tip.","R","R","L","ATL","DET","S",,,0,2,2019,"0.76","1.04","0.64","1.87",,,,0,5,"Bot",,,,,,,-5.66969646889484,-134.104014707141,-5.40010195964485,10.3738013263474,24.6839802045252,-18.6897645563019,"3.46","1.56",305,"93.1",23,"93",2442,"6.4",567192,606988,543308,493596,641525,592348,621514,592444,592206,"54.07",,,,,,,,39,3,"4-Seam Fastball",2,0,2,0,0,2,2,0,"Standard","Strategic",144,"0","0",,,,"0","93.1",2,2,"0.82","0.82",28,33,28,33,2,1,5,1,5,2,"1.61","0.76","-0.76",
"SL","2019-06-02","82.1","2.58","5.18","Truist Park",622666,571510,,"foul",,,,,9,"Johan Camargo strikes out swinging.","R","R","L","ATL","DET","S",,,1,2,2019,"-0.21","0.04","0.69","1.77",,,518626,2,4,"Bot",,,,,,,-3.85137352227946,-119.388865421674,-1.24592821620292,-1.25220786281883,22.2442607040044,-31.8150096417264,"3.63","1.72",240,"77.2",41,"81.3",2470,"5.7",567192,606988,543308,493596,641525,592348,621514,592444,592206,"54.8",,,,,,,,32,6,"Slider",2,0,2,0,0,2,2,0,"Standard","Standard",259,"0","0",,,,"0","88.0",2,2,"0.776","0.776",28,25,28,26,2,1,5,1,5,2,"3.42","-0.21","0.21",
"FF","2019-06-02","94","2.23","5.55","Truist Park",622666,571510,,"foul",,,,,2,"Johan Camargo strikes out swinging.","R","R","L","ATL","DET","S",,,1,2,2019,"0.48","1.16","-0.05","3.58",,,518626,2,4,"Bot",,,,,,,-6.93346243236559,-136.783961825668,-1.9519112566896,7.47159797697324,28.1335182599716,-17.5334177817341,"3.6","1.72",272,"80.2",31,"93.8",2357,"6",567192,606988,543308,493596,641525,592348,621514,592444,592206,"54.46",,,,,,,,32,5,"4-Seam Fastball",2,0,2,0,0,2,2,0,"Standard","Standard",157,"0","0",,,,"0","88.0",2,2,"0.776","0.776",28,25,28,26,2,1,5,1,5,2,"1.44","0.48","-0.48",
"FF","2019-06-02","93.1","2.2","5.46","Truist Park",622666,571510,,"foul",,,,,9,"Johan Camargo strikes out swinging.","R","R","L","ATL","DET","S",,,1,2,2019,"0.83","1.06","0.32","2.1",,,518626,2,4,"Bot",,,,,,,-6.57978419536527,-135.438430380236,-5.16305310111603,11.4187097904223,26.2979219387322,-18.4117471685699,"3.67","1.72",,,,"92.9",2369,"6",567192,606988,543308,493596,641525,592348,621514,592444,592206,"54.53",,,,,,,,32,4,"4-Seam Fastball",2,0,2,0,0,2,2,0,"Standard","Standard",142,"0","0",,,,"0",,2,2,"0.776","0.776",28,25,28,26,2,1,5,1,5,2,"1.59","0.83","-0.83",
"FF","2019-06-02","90.8","-2.57","4.82","Truist Park",592348,527054,,"foul",,,,,8,"Niko Goodrum walks.","R","L","R","ATL","DET","S",,,0,1,2019,"-0.3","1.17","0.19","1.77",,592444,,1,5,"Top",,,,,,,7.48584093865303,-131.986316116674,-4.18448992437645,-4.91107880659366,25.4485983151541,-18.0718800100428,"3.57","1.71",146,"71.5",19,"90.4",2374,"5.9",567192,452095,518692,645277,518626,621020,663586,660670,622666,"54.58",,,,,,,,35,2,"4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard",194,"0","-0.078",,,,"0.078","88.0",2,-2,"0.739","0.261",28,27,28,27,3,2,7,1,6,2,"1.63","0.3","-0.3",
"CH","2019-06-02","86.4","-2.7","4.86","Truist Park",571510,527054,,"foul",,,,,5,"Matthew Boyd strikes out on a foul tip.","R","L","R","ATL","DET","S",,,0,0,2019,"-0.57","0.65","-0.08","2.26",,592444,,0,5,"Top",,,,,,,7.27449204848617,-125.746762808844,-1.34817458574149,-7.2006335795235,21.1383965893444,-25.3515419575268,"3.16","1.6",10,"82.6",-15,"86",2313,"5.6",567192,452095,518692,645277,518626,621020,663586,660670,622666,"54.86",,,,,,,,34,1,"Changeup",2,0,0,2,0,2,0,2,"Strategic","Standard",221,"0","-0.064",,,,"0.064","88.0",2,-2,"0.685","0.315",28,28,28,28,2,1,7,,6,,"2.44","0.57","-0.57",
"FF","2019-06-02","92.3","2.28","5.46","Truist Park",645277,571510,,"foul",,,,,2,"Ozzie Albies flies out to right fielder Nicholas Castellanos.","R","R","L","ATL","DET","S",,,3,1,2019,"0.46","1.24","-0.15","2.84",,,518626,1,4,"Bot",,,,,,,-7.13994595456035,-134.296442414756,-3.56902097488313,6.91723971853888,25.8851893528841,-16.6560139690922,"3.25","1.54",,,,"92.4",2327,"6.1",567192,606988,543308,493596,641525,592348,621514,592444,592206,"54.39",,,,,,,,31,5,"4-Seam Fastball",2,0,2,0,0,2,2,0,"Standard","Strategic",160,"0","-0.099",,,,"0.099",,2,2,"0.795","0.795",28,22,28,22,2,1,5,1,5,2,"1.43","0.46","-0.46",
"FF","2019-06-02","87.7","-2.63","4.9","Truist Park",592444,527054,,"foul",,,,,9,"JaCoby Jones doubles (7) on a line drive to left fielder Austin Riley.","R","R","R","ATL","DET","S",,,2,0,2019,"-0.36","0.89","0.63","1.76",,,,0,5,"Top",,,,,,,8.53749050564476,-127.532393247039,-3.31838428155382,-5.44102870884849,23.1119927776304,-22.105487871561,"3.58","1.66",,,,"87.5",2258,"6",567192,452095,518692,645277,518626,621020,663586,660670,622666,"54.54",,,,,,,,33,3,"4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard",202,"0","-0.063",,,,"0.063",,2,-2,"0.761","0.239",28,27,28,27,2,1,7,1,6,2,"2.09","0.36","0.36",
"SL","2019-06-02","83.8","2.56","5.25","Truist Park",663586,571510,,"foul",,,,,7,"Austin Riley strikes out swinging.","R","R","L","ATL","DET","S",,,1,0,2019,"-0.14","0.44","-0.59","1.6",,,518626,0,4,"Bot",,,,,,,-6.96529018437589,-121.939885513182,-2.94212000678047,-0.170198536336461,21.1722011862093,-27.485446598967,"3.35","1.58",,,,"83.7",2396,"6",567192,606988,543308,493596,641525,592348,621514,592444,592206,"54.53",,,,,,,,30,2,"Slider",2,0,2,0,0,2,2,0,"Standard","Strategic",197,"0","-0.085",,,,"0.085",,2,2,"0.816","0.816",28,22,28,22,2,1,5,1,5,2,"2.82","-0.14","0.14",
"FF","2019-06-02","90.1","-2.7","4.68","Truist Park",493596,527054,,"foul",,,,,9,"Gordon Beckham walks.","R","R","R","ATL","DET","S",,,3,0,2019,"-0.19","0.72","0.52","1.97",,,,2,4,"Top",,,,,,,8.32768033031455,-131.08625063732,-2.33718541649668,-3.70022533362448,24.0574954383067,-23.7028024189347,"3.3","1.6",,,,"89.9",2381,"5.9",567192,452095,518692,645277,518626,621020,663586,660670,622666,"54.63",,,,,,,,27,4,"4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard",195,"0","-0.026",,,,"0.026",,2,-2,"0.782","0.218",28,32,28,33,2,1,7,2,6,2,"2.11","0.19","0.19",
"SL","2019-06-02","84.9","2.74","5.07","Truist Park",518692,571510,,"foul",,,,,4,"Freddie Freeman strikes out swinging.","R","L","L","ATL","DET","S",,,3,2,2019,"0.08","0.3","-0.57","2.38",,,,2,3,"Bot",,,,,,,-7.86031079065458,-123.482194349817,-0.565250786154594,2.34308627850188,23.534822488275,-29.2234412351279,"3.55","1.73",,,,"84.5",2481,"6",567192,606988,543308,493596,641525,592348,621514,592444,592206,"54.51",,,,,,,,24,8,"Slider",2,0,2,0,0,2,2,0,"Infield shift","Strategic",165,"0","0",,,,"0",,2,2,"0.746","0.746",28,29,28,30,2,1,5,1,5,2,"2.89","0.08","0.08",
"FF","2019-06-02","94.3","2.31","5.39","Truist Park",518692,571510,,"foul",,,,,4,"Freddie Freeman strikes out swinging.","R","L","L","ATL","DET","S",,,3,2,2019,"0.66","1.26","-0.45","2.34",,,,2,3,"Bot",,,,,,,-8.58780353456756,-137.090416019857,-5.01519053349604,10.1431948356625,28.7444241971106,-15.5204764259305,"3.55","1.73",,,,"94.2",2447,"6.2",567192,606988,543308,493596,641525,592348,621514,592444,592206,"54.34",,,,,,,,24,7,"4-Seam Fastball",2,0,2,0,0,2,2,0,"Infield shift","Strategic",152,"0","0",,,,"0",,2,2,"0.746","0.746",28,29,28,30,2,1,5,1,5,2,"1.32","0.66","0.66",
"FF","2019-06-02","91.2","-2.56","4.79","Truist Park",543308,527054,,"foul",,,,,6,"John Hicks strikes out swinging.","R","R","R","ATL","DET","S",,,0,2,2019,"-0.32","0.67","0.55","2.34",,,,1,4,"Top",,,,,,,8.46054518391326,-132.597183129646,-1.72239543144453,-5.34536900267031,24.1890017843042,-24.1985527217462,"3.27","1.58",197,"72.1",54,"91.2",2470,"6",567192,452095,518692,645277,518626,621020,663586,660670,622666,"54.49",,,,,,,,26,3,"4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard",206,"0","0",,,,"0","88.0",2,-2,"0.764","0.236",28,29,28,30,2,1,7,1,6,3,"2.08","0.32","0.32",
"SI","2019-06-02","91.2","2.35","5.36","Truist Park",518692,571510,,"foul",,,,,12,"Freddie Freeman strikes out swinging.","R","L","L","ATL","DET","S",,,3,2,2019,"0.81","0.44","0.98","3.67",,,,2,3,"Bot",,,,,,,-5.23100545167353,-132.909651658129,0.632978450543212,10.6794943635782,25.4248827987339,-27.2524330442746,"3.55","1.73",99,"64.2",7,"92.1",2344,"6.5",567192,606988,543308,493596,641525,592348,621514,592444,592206,"54",,,,,,,,24,6,"Sinker",2,0,2,0,0,2,2,0,"Infield shift","Strategic",118,"0","0",,,,"0","88.0",2,2,"0.746","0.746",28,29,28,30,2,1,5,1,5,2,"2.26","0.81","0.81",
"FF","2019-06-02","88.5","-2.58","4.97","Truist Park",641525,527054,,"foul",,,,,6,"Brandon Dixon grounds out softly, pitcher Julio Teheran to first baseman Freddie Freeman.","R","R","R","ATL","DET","S",,,0,1,2019,"-0.19","0.86","0.68","2.75",,,,0,4,"Top",,,,,,,8.28447533723414,-128.661953489232,-1.19135951615059,-3.59763762123527,22.5933401530229,-22.6151066869536,"3.4","1.62",232,"76",42,"88.4",2380,"6",567192,452095,518692,645277,518626,621020,663586,660670,622666,"54.54",,,,,,,,25,2,"4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard",193,"0","-0.052",,,,"0.052","88.0",2,-2,"0.738","0.262",28,27,28,27,2,1,7,1,6,2,"2.06","0.19","0.19",
